SKU ID,VendorProduct_ID,UnitMeasurementBuy,LotSizeBuy,Current_Buy,UnitMeasurementSell,LotSizeSell,Current_Sell,Specs_JSON,Threshold,stock_qty
1,12,1,10,19.5,1,1,23.4,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""63 mm""}",42,72
2,12,1,10,20.5,1,1,24.6,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""75 mm""}",27,57
3,12,1,10,22.5,1,1,27,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""90 mm""}",35,65
4,12,1,10,24.5,1,1,29.4,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""110 mm""}",48,78
5,12,1,10,27.5,1,1,33,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""63 mm""}",22,52
6,12,1,10,29,1,1,34.8,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""75 mm""}",31,61
7,12,1,10,32,1,1,38.4,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""90 mm""}",45,75
8,12,1,10,36,1,1,43.2,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""110 mm""}",29,59
9,12,1,10,40,1,1,48,"{""spec1"": ""Clamp SS"", ""spec2"": ""75 mm""}",38,68
10,12,1,10,45,1,1,54,"{""spec1"": ""Clamp SS"", ""spec2"": ""90 mm""}",21,51
11,12,1,10,18,1,1,21.6,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""63 mm""}",47,77
12,12,1,10,20,1,1,24,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""75 mm""}",33,63
13,12,1,10,35,1,1,42,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""90 mm""}",26,56
14,12,1,10,40,1,1,48,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""110 mm""}",41,71
15,12,1,10,21,1,1,25.2,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""63 mm""}",39,69
16,12,1,10,22.5,1,1,27,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""75 mm""}",24,54
17,12,1,10,34,1,1,40.8,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""90 mm""}",44,74
18,12,1,10,48,1,1,57.6,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""110 mm""}",28,58
19,7,1,150,38,1,1,45.6,"{""spec1"": ""1\"" x 0.75\"" x 0.75\"" x 7\""""}",34,64
20,7,1,150,44,1,1,52.8,"{""spec1"": ""1.25\"" x 1\"" x 1\"" x 7\""""}",22,52
21,7,1,150,52,1,1,62.4,"{""spec1"": ""1.5\"" x 1.25\"" x 1.25\"" x 7\""""}",47,77
22,7,1,150,84,1,1,100.8,"{""spec1"": ""2\"" x 1.75\"" x 1.75\"" x 8\""""}",29,59
23,7,1,150,102,1,1,122.4,"{""spec1"": ""2.5\"" x 2.25\"" x 2.25\"" x 8\""""}",41,71
24,7,1,150,118,1,1,141.6,"{""spec1"": ""3\"" x 2.75\"" x 2.75\"" x 8\""""}",38,68
25,7,1,150,235,1,1,282,"{""spec1"": ""4\"" x 3.75\"" x 3.75\"" x 8\""""}",25,55
26,8,1,150,84,1,1,100.8,"{""spec1"": ""2\"" x 1.5\"" x 8\""""}",45,75
27,8,1,150,102,1,1,122.4,"{""spec1"": ""2.5\"" x 2\"" x 8\""""}",31,61
28,8,1,150,118,1,1,141.6,"{""spec1"": ""3\"" x 2.5\"" x 8\""""}",20,50
29,8,1,150,235,1,1,282,"{""spec1"": ""4\"" x 3\"" x 8\""""}",49,79
30,9,12,30,300,12,1,360,"{""spec1"": ""1.5\"""", ""spec2"": ""58 to 62 mm"", ""spec3"": ""12mm x 45 mm""}",37,67
31,9,12,25,230,12,1,276,"{""spec1"": ""2\"""", ""spec2"": ""70 to 74 mm"", ""spec3"": ""12mm x 45 mm""}",24,54
32,9,12,20,255,12,1,306,"{""spec1"": ""2.5\"""", ""spec2"": ""80 to 84 mm"", ""spec3"": ""12mm x 45 mm""}",42,72
33,9,12,15,275,12,1,330,"{""spec1"": ""3\"""", ""spec2"": ""90 to 94 mm"", ""spec3"": ""12mm x 45 mm""}",29,59
34,9,12,15,290,12,1,348,"{""spec1"": ""3.25\"""", ""spec2"": ""95 to 97 mm"", ""spec3"": ""12mm x 45 mm""}",48,78
35,9,12,12,305,12,1,366,"{""spec1"": ""4\"""", ""spec2"": ""110 to 115 mm"", ""spec3"": ""12mm x 45 mm""}",21,51
36,10,12,25,270,12,1,324,"{""spec1"": ""1.5\"""", ""spec2"": ""58 to 62 mm"", ""spec3"": ""12mm x 45 mm""}",33,63
37,10,12,20,305,12,1,366,"{""spec1"": ""2\"""", ""spec2"": ""70 to 74 mm"", ""spec3"": ""12mm x 45 mm""}",45,75
38,10,12,15,325,12,1,390,"{""spec1"": ""2.5\"""", ""spec2"": ""80 to 84 mm"", ""spec3"": ""12mm x 45 mm""}",26,56
39,10,12,15,345,12,1,414,"{""spec1"": ""3\"""", ""spec2"": ""90 to 94 mm"", ""spec3"": ""12mm x 45 mm""}",39,69
40,10,12,15,360,12,1,432,"{""spec1"": ""3.25\"""", ""spec2"": ""95 to 97 mm"", ""spec3"": ""12mm x 45 mm""}",22,52
41,10,12,10,380,12,1,456,"{""spec1"": ""4\"""", ""spec2"": ""110 to 115 mm"", ""spec3"": ""12mm x 45 mm""}",50,80
42,11,1,5,65,1,1,78,"{""spec1"": ""3x1-3x1.25-3x1.5"", ""spec2"": ""Apx.wt. 0.800""}",22,52
